Input feed cut file input-unit/ppe-omni-7.205Ghz-rhcp.cut, CF(dB)=-0.20, complex field for theta,phi degrees
    THETA    PHI        POL-1,real         POL-1,imag         POL-2,real         POL-2,imag
  146.00     0.00       3.095623E-01       8.890501E-02      -3.626738E-02      -3.659484E-01
  147.00     0.00       3.069772E-01       7.408476E-02      -3.866025E-02      -3.724771E-01
  148.00     0.00       3.049861E-01       6.130086E-02      -4.092833E-02      -3.765832E-01
  149.00     0.00       3.031436E-01       5.061258E-02      -4.357028E-02      -3.782434E-01
  150.00     0.00       3.010309E-01       4.204725E-02      -4.704283E-02      -3.775464E-01
  151.00     0.00       2.982716E-01       3.550435E-02      -5.173935E-02      -3.746803E-01
  152.00     0.00       2.945502E-01       3.080734E-02      -5.797519E-02      -3.699080E-01
  153.00     0.00       2.896222E-01       2.772384E-02      -6.597970E-02      -3.635436E-01
  154.00     0.00       2.833189E-01       2.598567E-02      -7.589400E-02      -3.559304E-01
  155.00     0.00       2.755471E-01       2.530770E-02      -8.777370E-02      -3.474207E-01
  156.00     0.00       2.662849E-01       2.540445E-02      -1.015954E-01      -3.383587E-01
  157.00     0.00       2.555748E-01       2.600402E-02      -1.172660E-01      -3.290662E-01
  158.00     0.00       2.435146E-01       2.685890E-02      -1.346335E-01      -3.198324E-01
  159.00     0.00       2.302503E-01       2.776381E-02      -1.535022E-01      -3.109079E-01
  160.00     0.00       2.159395E-01       2.850703E-02      -1.736382E-01      -3.024982E-01
  161.00     0.00       2.008116E-01       2.898263E-02      -1.947700E-01      -2.947591E-01
  162.00     0.00       1.850700E-01       2.908276E-02      -2.166327E-01      -2.878070E-01
  163.00     0.00       1.689357E-01       2.874568E-02      -2.389474E-01      -2.817137E-01
  164.00     0.00       1.526286E-01       2.794439E-02      -2.614379E-01      -2.765122E-01
  165.00     0.00       1.363615E-01       2.668256E-02      -2.838361E-01      -2.722009E-01
  166.00     0.00       1.203354E-01       2.498983E-02      -3.058868E-01      -2.687490E-01
  167.00     0.00       1.047363E-01       2.291698E-02      -3.273516E-01      -2.661016E-01
  168.00     0.00       8.973336E-02       2.053101E-02      -3.480105E-01      -2.641850E-01
  169.00     0.00       7.547776E-02       1.791043E-02      -3.676637E-01      -2.629120E-01
  170.00     0.00       6.210237E-02       1.514091E-02      -3.861321E-01      -2.621861E-01
  171.00     0.00       4.972235E-02       1.231138E-02      -4.032569E-01      -2.619066E-01
  172.00     0.00       3.843599E-02       9.510561E-03      -4.188991E-01      -2.619718E-01
  173.00     0.00       2.832601E-02       6.824045E-03      -4.329387E-01      -2.622827E-01
  174.00     0.00       1.946097E-02       4.331787E-03      -4.452737E-01      -2.627464E-01
  175.00     0.00       1.189678E-02       2.106094E-03      -4.558185E-01      -2.632776E-01
  176.00     0.00       5.678153E-03       2.099924E-04      -4.645030E-01      -2.638019E-01
  177.00     0.00       8.399325E-04      -1.304046E-03      -4.712712E-01      -2.642565E-01
  178.00     0.00      -2.591729E-03      -2.395080E-03      -4.760808E-01      -2.645921E-01
  179.00     0.00      -4.598477E-03      -3.034410E-03      -4.789017E-01      -2.647739E-01
  180.00     0.00      -5.168917E-03      -3.206137E-03      -4.797157E-01      -2.647823E-01
    0.00     5.00      -7.188553E-01       1.944476E+00      -8.465028E-03       1.931875E-02
    1.00     5.00      -7.186983E-01       1.943267E+00      -8.368484E-03       1.893049E-02
    2.00     5.00      -7.184311E-01       1.940147E+00      -8.299508E-03       1.824533E-02
    3.00     5.00      -7.180342E-01       1.935129E+00      -8.251213E-03       1.727255E-02
    4.00     5.00      -7.174783E-01       1.928233E+00      -8.214325E-03       1.602571E-02
    5.00     5.00      -7.167242E-01       1.919486E+00      -8.177398E-03       1.452276E-02
    6.00     5.00      -7.157239E-01       1.908923E+00      -8.127121E-03       1.278606E-02
    7.00     5.00      -7.144209E-01       1.896584E+00      -8.048678E-03       1.084229E-02
    8.00     5.00      -7.127510E-01       1.882521E+00      -7.926166E-03       8.722373E-03
    9.00     5.00      -7.106435E-01       1.866789E+00      -7.743044E-03       6.461316E-03
   10.00     5.00      -7.080216E-01       1.849454E+00      -7.482619E-03       4.098033E-03
   11.00     5.00      -7.048035E-01       1.830588E+00      -7.128551E-03       1.675117E-03
   12.00     5.00      -7.009034E-01       1.810274E+00      -6.665372E-03      -7.614325E-04
   13.00     5.00      -6.962319E-01       1.788599E+00      -6.079016E-03      -3.162511E-03
   14.00     5.00      -6.906971E-01       1.765662E+00      -5.357341E-03      -5.476244E-03
   15.00     5.00      -6.842054E-01       1.741570E+00      -4.490664E-03      -7.648345E-03
   16.00     5.00      -6.766620E-01       1.716439E+00      -3.472288E-03      -9.622488E-03
   17.00     5.00      -6.679716E-01       1.690395E+00      -2.299058E-03      -1.134070E-02
   18.00     5.00      -6.580396E-01       1.663576E+00      -9.719263E-04      -1.274376E-02
   19.00     5.00      -6.467729E-01       1.636133E+00       5.034290E-04      -1.377164E-02
   20.00     5.00      -6.340819E-01       1.608230E+00       2.115935E-03      -1.436397E-02
   21.00     5.00      -6.199053E-01       1.580066E+00       3.844342E-03      -1.445777E-02
   22.00     5.00      -6.041082E-01       1.551802E+00       5.672146E-03      -1.399855E-02
   23.00     5.00      -5.866663E-01       1.523676E+00       7.564047E-03      -1.292656E-02
   24.00     5.00      -5.675227E-01       1.495928E+00       9.478466E-03      -1.118665E-02
   25.00     5.00      -5.466499E-01       1.468819E+00       1.136462E-02      -8.727902E-03
   26.00     5.00      -5.240488E-01       1.442633E+00       1.316093E-02      -5.505141E-03
   27.00     5.00      -4.997564E-01       1.417672E+00       1.479423E-02      -1.481099E-03
   28.00     5.00      -4.738544E-01       1.394254E+00       1.617926E-02       3.370989E-03
   29.00     5.00      -4.464774E-01       1.372708E+00       1.721862E-02       9.064278E-03
   30.00     5.00      -4.178209E-01       1.353360E+00       1.780339E-02       1.559477E-02
   31.00     5.00      -3.881480E-01       1.336525E+00       1.781462E-02       2.293741E-02
   32.00     5.00      -3.577928E-01       1.322492E+00       1.712590E-02       3.104201E-02
   33.00     5.00      -3.271530E-01       1.311514E+00       1.560646E-02       3.983098E-02
   34.00     5.00      -2.967141E-01       1.303752E+00       1.312913E-02       4.919044E-02
   35.00     5.00      -2.670060E-01       1.299306E+00       9.573277E-03       5.897362E-02
   36.00     5.00      -2.386043E-01       1.298164E+00       4.835769E-03       6.899656E-02
   37.00     5.00      -2.121057E-01       1.300194E+00      -1.160256E-03       7.903912E-02
   38.00     5.00      -1.881005E-01       1.305132E+00      -8.455029E-03       8.884807E-02
   39.00     5.00      -1.671398E-01       1.312576E+00      -1.704149E-02       9.814308E-02
   40.00     5.00      -1.497001E-01       1.321993E+00      -2.685519E-02       1.066261E-01
   41.00     5.00      -1.361455E-01       1.332744E+00      -3.776738E-02       1.139956E-01
   42.00     5.00      -1.267000E-01       1.344067E+00      -4.957399E-02       1.199587E-01
   43.00     5.00      -1.214193E-01       1.355169E+00      -6.200099E-02       1.242544E-01
   44.00     5.00      -1.201564E-01       1.365235E+00      -7.470219E-02       1.266763E-01
   45.00     5.00      -1.226125E-01       1.373491E+00      -8.727380E-02       1.270809E-01
   46.00     5.00      -1.282647E-01       1.379249E+00      -9.926451E-02       1.254280E-01
   47.00     5.00      -1.364504E-01       1.381964E+00      -1.102030E-01       1.217834E-01
   48.00     5.00      -1.463955E-01       1.381283E+00      -1.196280E-01       1.163337E-01
   49.00     5.00      -1.572629E-01       1.377038E+00      -1.271156E-01       1.093862E-01
   50.00     5.00      -1.682306E-01       1.369303E+00      -1.323241E-01       1.013636E-01
   51.00     5.00      -1.785442E-01       1.358358E+00      -1.350233E-01       9.278293E-02
   52.00     5.00      -1.875850E-01       1.344664E+00      -1.351258E-01       8.422535E-02
   53.00     5.00      -1.949202E-01       1.328810E+00      -1.327082E-01       7.629380E-02
   54.00     5.00      -2.003422E-01       1.311457E+00      -1.280215E-01       6.956483E-02
   55.00     5.00      -2.038496E-01       1.293226E+00      -1.214740E-01       6.453366E-02
   56.00     5.00      -2.056697E-01       1.274662E+00      -1.136197E-01       6.156356E-02
   57.00     5.00      -2.061767E-01       1.256139E+00      -1.051048E-01       6.084384E-02
   58.00     5.00      -2.058306E-01       1.237821E+00      -9.661335E-02       6.236070E-02
   59.00     5.00      -2.050880E-01       1.219637E+00      -8.879900E-02       6.588844E-02
   60.00     5.00      -2.043237E-01       1.201309E+00      -8.221952E-02       7.100378E-02
   61.00     5.00      -2.036940E-01       1.182371E+00      -7.725707E-02       7.712870E-02
   62.00     5.00      -2.031434E-01       1.162281E+00      -7.408888E-02       8.358556E-02
   63.00     5.00      -2.023238E-01       1.140517E+00      -7.264780E-02       8.968264E-02
   64.00     5.00      -2.006208E-01       1.116692E+00      -7.262903E-02       9.479909E-02
   65.00     5.00      -1.972102E-01       1.090666E+00      -7.352533E-02       9.846902E-02
   66.00     5.00      -1.911877E-01       1.062643E+00      -7.469510E-02       1.004467E-01
   67.00     5.00      -1.816140E-01       1.033185E+00      -7.544493E-02       1.007609E-01
   68.00     5.00      -1.677782E-01       1.003233E+00      -7.514394E-02       9.970369E-02
   69.00     5.00      -1.492719E-01       9.740338E-01      -7.331987E-02       9.780854E-02
   70.00     5.00      -1.261222E-01       9.470100E-01      -6.974777E-02       9.577428E-02
   71.00     5.00      -9.888746E-02       9.236028E-01      -6.450655E-02       9.436150E-02
   72.00     5.00      -6.856760E-02       9.050790E-01      -5.798999E-02       9.426945E-02
   73.00     5.00      -3.665072E-02       8.923383E-01      -5.087306E-02       9.600714E-02
   74.00     5.00      -4.898649E-03       8.857770E-01      -4.402568E-02       9.979354E-02
   75.00     5.00       2.482817E-02       8.851870E-01      -3.838995E-02       1.054857E-01
   76.00     5.00       5.076407E-02       8.897366E-01      -3.483691E-02       1.125604E-01
   77.00     5.00       7.154894E-02       8.980528E-01      -3.400683E-02       1.201580E-01
   78.00     5.00       8.629802E-02       9.083367E-01      -3.619197E-02       1.271743E-01
   79.00     5.00       9.479206E-02       9.186091E-01      -4.124708E-02       1.324141E-01
   80.00     5.00       9.749252E-02       9.269423E-01      -4.856655E-02       1.347628E-01
   81.00     5.00       9.544906E-02       9.317014E-01      -5.713057E-02       1.333616E-01
   82.00     5.00       9.024099E-02       9.317617E-01      -6.561839E-02       1.277668E-01
   83.00     5.00       8.364582E-02       9.266086E-01      -7.257705E-02       1.180406E-01
   84.00     5.00       7.745521E-02       9.164115E-01      -7.662312E-02       1.047905E-01
   85.00     5.00       7.321068E-02       9.019508E-01      -7.664655E-02       8.911761E-02
   86.00     5.00       7.196183E-02       8.844682E-01      -7.198812E-02       7.249481E-02
   87.00     5.00       7.424596E-02       8.654535E-01      -6.255285E-02       5.657003E-02
   88.00     5.00       7.991895E-02       8.463766E-01      -4.885373E-02       4.295221E-02
   89.00     5.00       8.830183E-02       8.284717E-01      -3.196009E-02       3.298278E-02
   90.00     5.00       9.829391E-02       8.125246E-01      -1.336720E-02       2.753999E-02
   91.00     5.00       1.086638E-01       7.988085E-01       5.210168E-03       2.691784E-02
   92.00     5.00       1.181880E-01       7.869729E-01       2.206568E-02       3.076633E-02
   93.00     5.00       1.259506E-01       7.762074E-01       3.574470E-02       3.815279E-02
   94.00     5.00       1.314948E-01       7.653784E-01       4.524501E-02       4.769521E-02
   95.00     5.00       1.348922E-01       7.532426E-01       5.015553E-02       5.776513E-02
   96.00     5.00       1.368164E-01       7.387219E-01       5.069247E-02       6.674107E-02
   97.00     5.00       1.383368E-01       7.210477E-01       4.765760E-02       7.323189E-02
   98.00     5.00       1.408145E-01       6.999827E-01       4.229451E-02       7.629288E-02
   99.00     5.00       1.456557E-01       6.758750E-01       3.608093E-02       7.555435E-02
  100.00     5.00       1.540492E-01       6.496371E-01       3.049129E-02       7.127026E-02
  101.00     5.00       1.668394E-01       6.226537E-01       2.674153E-02       6.424792E-02
  102.00     5.00       1.842503E-01       5.965552E-01       2.560850E-02       5.571905E-02
  103.00     5.00       2.058994E-01       5.730287E-01       2.729209E-02       4.712661E-02
  104.00     5.00       2.307922E-01       5.535636E-01       3.137859E-02       3.988299E-02
  105.00     5.00       2.574020E-01       5.392383E-01       3.689773E-02       3.513903E-02
  106.00     5.00       2.839509E-01       5.305646E-01       4.246670E-02       3.356898E-02
  107.00     5.00       3.084851E-01       5.273825E-01       4.649494E-02       3.526185E-02
  108.00     5.00       3.292194E-01       5.288899E-01       4.742688E-02       3.967079E-02
  109.00     5.00       3.447243E-01       5.337204E-01       4.397785E-02       4.566582E-02
  110.00     5.00       3.540682E-01       5.400987E-01       3.534077E-02       5.167636E-02
  111.00     5.00       3.570357E-01       5.460582E-01       2.130699E-02       5.587117E-02
  112.00     5.00       3.539846E-01       5.496380E-01       2.339054E-03       5.641022E-02
  113.00     5.00       3.459173E-01       5.491267E-01      -2.046767E-02       5.167330E-02
  114.00     5.00       3.343246E-01       5.432365E-01      -4.549683E-02       4.046834E-02
  115.00     5.00       3.209899E-01       5.312279E-01      -7.078692E-02       2.220152E-02
  116.00     5.00       3.078979E-01       5.129897E-01      -9.425066E-02      -3.089710E-03
  117.00     5.00       2.968583E-01       4.890066E-01      -1.138948E-01      -3.467620E-02
  118.00     5.00       2.894534E-01       4.603080E-01      -1.280348E-01      -7.124056E-02
  119.00     5.00       2.868497E-01       4.283410E-01      -1.354637E-01      -1.110075E-01
  120.00     5.00       2.897026E-01       3.948112E-01      -1.355640E-01      -1.519244E-01
  121.00     5.00       2.981045E-01       3.615102E-01      -1.283738E-01      -1.918507E-01
  122.00     5.00       3.116604E-01       3.301379E-01      -1.144999E-01      -2.288011E-01
  123.00     5.00       3.294565E-01       3.021601E-01      -9.511686E-02      -2.610607E-01
  124.00     5.00       3.502474E-01       2.786826E-01      -7.179045E-02      -2.873585E-01
  125.00     5.00       3.725639E-01       2.603801E-01      -4.632947E-02      -3.069417E-01
  126.00     5.00       3.948574E-01       2.474661E-01      -2.061594E-02      -3.196043E-01
  127.00     5.00       4.156335E-01       2.397181E-01       3.549438E-03      -3.256714E-01
  128.00     5.00       4.336046E-01       2.364987E-01       2.461844E-02      -3.259066E-01
  129.00     5.00       4.477238E-01       2.368907E-01       4.135996E-02      -3.214359E-01
  130.00     5.00       4.572984E-01       2.397637E-01       5.295455E-02      -3.136086E-01
  131.00     5.00       4.619988E-01       2.438963E-01       5.901317E-02      -3.038693E-01
  132.00     5.00       4.618517E-01       2.480833E-01       5.956371E-02      -2.936328E-01
  133.00     5.00       4.571995E-01       2.512435E-01       5.500734E-02      -2.841751E-01
